第２表　設置者別学科別年度別学科・学級数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,昭和37年度,,,,,,,,38年度,,,,,,,,39年度,,,,,,,,40年度,,,,,,,,
,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,
,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,
土木工学科,3,3,－,－,1,1,4,4,4,4,1,1,2,3,7,8,5,5,2,2,2,3,9,10,6,6,2,2,2,3,10,11,
土木建築工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
建築学科,－,－,－,－,1,1,1,1,2,2,－,－,1,1,3,3,3,3,－,－,1,1,4,4,4,4,－,－,1,1,5,5,
建設工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
環境都市工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
都市・環境工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
環境都市デザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
都市環境デザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
環境・建設工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
建設システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
都市システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
建設環境工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
都市工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
建築デザイン学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
建築社会デザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
社会基盤工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
航空工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
航空機体工学科,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,
航空原動機工学科,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,－,－,1,1,
印刷工学科,－,－,－,－,－,－,－,－,－,－,－,－,1,2,1,2,－,－,－,－,1,2,1,2,－,－,－,－,1,2,1,2,
グラフィック工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
ビジュアル情報工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
工業意匠学科,－,－,－,－,－,－,－,－,－,－,－,－,1,1,1,1,－,－,－,－,1,1,1,1,－,－,－,－,1,1,1,1,
工業デザイン学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
デザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
デザイン学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
インダストリアルデザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
総合工学システム学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
総合システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
ものづくり工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
生産システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
創造技術工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
産業システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
創造工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
生産デザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
総合理工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
ソーシャルデザイン工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
未来創造工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
総合工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
創造システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
国際創造工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
国際理工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
航海学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
機関学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
商船学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
経営情報学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
情報デザイン学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
コミュニケーション情報学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
ビジネスコミュニケーション学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
国際流通学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
国際ビジネス学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
情報機械システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
計,31,37,5,9,11,17,47,63,61,73,11,18,16,26,88,117,95,111,13,20,16,26,124,157,114,132,13,20,18,30,145,182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第２表　設置者別学科別年度別学科・学級数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,昭和４１年度,,,,,,,,４２年度,,,,,,,,４３年度,,,,,,,,４４年度,,,,,,,,
,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,国立,,公立,,私立,,計,,
,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,学科,学級,
機械工学科,43,61,4,10,6,11,53,82,44,62,4,10,6,11,54,83,44,62,4,10,6,11,54,83,44,62,4,10,6,12,54,84,
生産機械工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,1,1,
機械電気工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
金属工学科,3,3,－,－,－,－,3,3,4,4,－,－,－,－,4,4,5,5,－,－,－,－,5,5,6,6,－,－,－,－,6,6,
機械システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
知能機械工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
材料工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
環境材料工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
マテリアル環境工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
機械知能システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
システム制御工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
生産システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
材料システム工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
電気工学科,43,43,3,4,6,11,52,58,44,44,3,4,6,11,53,59,44,44,3,4,6,11,53,59,44,44,3,4,6,12,53,60,
電子工学科,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,
