department,year,base,unit,count
ビジュアル情報工学科,1966,計,学科,0
工業意匠学科,1966,計,学科,1
工業デザイン学科,1966,計,学科,0
デザイン工学科,1966,計,学科,0
デザイン学科,1966,計,学科,0
インダストリアルデザイン工学科,1966,計,学科,0
総合工学システム学科,1966,計,学科,0
総合システム工学科,1966,計,学科,0
ものづくり工学科,1966,計,学科,0
生産システム工学科,1966,計,学科,0
創造技術工学科,1966,計,学科,0
産業システム工学科,1966,計,学科,0
創造工学科,1966,計,学科,0
生産デザイン工学科,1966,計,学科,0
総合理工学科,1966,計,学科,0
ソーシャルデザイン工学科,1966,計,学科,0
未来創造工学科,1966,計,学科,0
総合工学科,1966,計,学科,0
創造システム工学科,1966,計,学科,0
国際創造工学科,1966,計,学科,0
国際理工学科,1966,計,学科,0
航海学科,1966,計,学科,0
機関学科,1966,計,学科,0
商船学科,1966,計,学科,0
経営情報学科,1966,計,学科,0
情報デザイン学科,1966,計,学科,0
コミュニケーション情報学科,1966,計,学科,0
ビジネスコミュニケーション学科,1966,計,学科,0
国際流通学科,1966,計,学科,0
国際ビジネス学科,1966,計,学科,0
情報機械システム工学科,1966,計,学科,0
機械工学科,1967,計,学科,54
生産機械工学科,1967,計,学科,0
機械電気工学科,1967,計,学科,0
金属工学科,1967,計,学科,4
機械システム工学科,1967,計,学科,0
知能機械工学科,1967,計,学科,0
材料工学科,1967,計,学科,0
環境材料工学科,1967,計,学科,0
マテリアル環境工学科,1967,計,学科,0
機械知能システム工学科,1967,計,学科,0
システム制御工学科,1967,計,学科,0
生産システム工学科,1967,計,学科,0
材料システム工学科,1967,計,学科,0
電気工学科,1967,計,学科,53
電子工学科,1967,計,学科,0
電子機械工学科,1967,計,学科,0
機械電子工学科,1967,計,学科,0
電子制御工学科,1967,計,学科,0
電子メディア工学科,1967,計,学科,0
電気情報工学科,1967,計,学科,0
電気電子工学科,1967,計,学科,0
電気電子システム工学科,1967,計,学科,0
電気・電子システム工学科,1967,計,学科,0
電気システム工学科,1967,計,学科,0
知能エレクトロニクス工学科,1967,計,学科,0
電気制御システム工学科,1967,計,学科,0
電子システム工学科,1967,計,学科,0
電気電子創造工学科,1967,計,学科,0
制御情報工学科,1967,計,学科,0
電子情報工学科,1967,計,学科,0
情報電子工学科,1967,計,学科,0
情報工学科,1967,計,学科,0
流通情報工学科,1967,計,学科,0
電波通信学科,1967,計,学科,0
情報通信工学科,1967,計,学科,0
情報通信システム工学科,1967,計,学科,0
メディア情報工学科,1967,計,学科,0
国際コミュニケーション情報工学科,1967,計,学科,0
グローバル情報工学科,1967,計,学科,0
グローバル情報学科,1967,計,学科,0
