department,year,base,unit,count
情報工学科,1962,計,学科,0
情報工学科,1962,計,学級,0
流通情報工学科,1962,国立,学科,0
流通情報工学科,1962,国立,学級,0
流通情報工学科,1962,公立,学科,0
流通情報工学科,1962,公立,学級,0
流通情報工学科,1962,私立,学科,0
流通情報工学科,1962,私立,学級,0
流通情報工学科,1962,計,学科,0
流通情報工学科,1962,計,学級,0
電波通信学科,1962,国立,学科,0
電波通信学科,1962,国立,学級,0
電波通信学科,1962,公立,学科,0
電波通信学科,1962,公立,学級,0
電波通信学科,1962,私立,学科,0
電波通信学科,1962,私立,学級,0
電波通信学科,1962,計,学科,0
電波通信学科,1962,計,学級,0
情報通信工学科,1962,国立,学科,0
情報通信工学科,1962,国立,学級,0
情報通信工学科,1962,公立,学科,0
情報通信工学科,1962,公立,学級,0
情報通信工学科,1962,私立,学科,0
情報通信工学科,1962,私立,学級,0
情報通信工学科,1962,計,学科,0
情報通信工学科,1962,計,学級,0
情報通信システム工学科,1962,国立,学科,0
情報通信システム工学科,1962,国立,学級,0
情報通信システム工学科,1962,公立,学科,0
情報通信システム工学科,1962,公立,学級,0
情報通信システム工学科,1962,私立,学科,0
情報通信システム工学科,1962,私立,学級,0
情報通信システム工学科,1962,計,学科,0
情報通信システム工学科,1962,計,学級,0
メディア情報工学科,1962,国立,学科,0
メディア情報工学科,1962,国立,学級,0
メディア情報工学科,1962,公立,学科,0
メディア情報工学科,1962,公立,学級,0
メディア情報工学科,1962,私立,学科,0
メディア情報工学科,1962,私立,学級,0
メディア情報工学科,1962,計,学科,0
メディア情報工学科,1962,計,学級,0
国際コミュニケーション情報工学科,1962,国立,学科,0
国際コミュニケーション情報工学科,1962,国立,学級,0
国際コミュニケーション情報工学科,1962,公立,学科,0
国際コミュニケーション情報工学科,1962,公立,学級,0
国際コミュニケーション情報工学科,1962,私立,学科,0
国際コミュニケーション情報工学科,1962,私立,学級,0
国際コミュニケーション情報工学科,1962,計,学科,0
国際コミュニケーション情報工学科,1962,計,学級,0
グローバル情報工学科,1962,国立,学科,0
グローバル情報工学科,1962,国立,学級,0
グローバル情報工学科,1962,公立,学科,0
グローバル情報工学科,1962,公立,学級,0
グローバル情報工学科,1962,私立,学科,0
グローバル情報工学科,1962,私立,学級,0
グローバル情報工学科,1962,計,学科,0
グローバル情報工学科,1962,計,学級,0
グローバル情報学科,1962,国立,学科,0
グローバル情報学科,1962,国立,学級,0
グローバル情報学科,1962,公立,学科,0
グローバル情報学科,1962,公立,学級,0
グローバル情報学科,1962,私立,学科,0
グローバル情報学科,1962,私立,学級,0
グローバル情報学科,1962,計,学科,0
グローバル情報学科,1962,計,学級,0
情報システム工学科,1962,国立,学科,0
情報システム工学科,1962,国立,学級,0
情報システム工学科,1962,公立,学科,0
情報システム工学科,1962,公立,学級,0
情報システム工学科,1962,私立,学科,0
情報システム工学科,1962,私立,学級,0
情報システム工学科,1962,計,学科,0
情報システム工学科,1962,計,学級,0
情報ネットワーク工学科,1962,国立,学科,0
情報ネットワーク工学科,1962,国立,学級,0
情報ネットワーク工学科,1962,公立,学科,0
情報ネットワーク工学科,1962,公立,学級,0
情報ネットワーク工学科,1962,私立,学科,0
情報ネットワーク工学科,1962,私立,学級,0
情報ネットワーク工学科,1962,計,学科,0
情報ネットワーク工学科,1962,計,学級,0
通信ネットワーク工学科,1962,国立,学科,0
通信ネットワーク工学科,1962,国立,学級,0
通信ネットワーク工学科,1962,公立,学科,0
通信ネットワーク工学科,1962,公立,学級,0
通信ネットワーク工学科,1962,私立,学科,0
通信ネットワーク工学科,1962,私立,学級,0
通信ネットワーク工学科,1962,計,学科,0
通信ネットワーク工学科,1962,計,学級,0
情報通信エレクトロニクス工学科,1962,国立,学科,0
情報通信エレクトロニクス工学科,1962,国立,学級,0
情報通信エレクトロニクス工学科,1962,公立,学科,0
情報通信エレクトロニクス工学科,1962,公立,学級,0
情報通信エレクトロニクス工学科,1962,私立,学科,0
情報通信エレクトロニクス工学科,1962,私立,学級,0
情報通信エレクトロニクス工学科,1962,計,学科,0
情報通信エレクトロニクス工学科,1962,計,学級,0
制御情報システム工学科,1962,国立,学科,0
制御情報システム工学科,1962,国立,学級,0
制御情報システム工学科,1962,公立,学科,0
制御情報システム工学科,1962,公立,学級,0
制御情報システム工学科,1962,私立,学科,0
制御情報システム工学科,1962,私立,学級,0
制御情報システム工学科,1962,計,学科,0
制御情報システム工学科,1962,計,学級,0
人間情報システム工学科,1962,国立,学科,0
人間情報システム工学科,1962,国立,学級,0
人間情報システム工学科,1962,公立,学科,0
人間情報システム工学科,1962,公立,学級,0
人間情報システム工学科,1962,私立,学科,0
人間情報システム工学科,1962,私立,学級,0
人間情報システム工学科,1962,計,学科,0
人間情報システム工学科,1962,計,学級,0
システム制御情報工学科,1962,国立,学科,0
システム制御情報工学科,1962,国立,学級,0
システム制御情報工学科,1962,公立,学科,0
システム制御情報工学科,1962,公立,学級,0
システム制御情報工学科,1962,私立,学科,0
システム制御情報工学科,1962,私立,学級,0
システム制御情報工学科,1962,計,学科,0
システム制御情報工学科,1962,計,学級,0
工業化学科,1962,国立,学科,4
工業化学科,1962,国立,学級,4
