学校コード,学校種,都道府県番号,設置区分１,本分校,学校名,学校所在地,郵便番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
F111310102085,F1,11,3,1,東京国際大学,川越市的場北１－１３－１,3501197,2021-01-20,,2153,
F111310102094,F1,11,3,1,城西大学,坂戸市けやき台１－１,3500295,2021-01-20,,2154,
F111310102101,F1,11,3,1,東邦音楽大学,川越市今泉８４,3500015,2021-01-20,,2155,
F111310102110,F1,11,3,1,獨協大学,草加市学園町１－１,3400042,2021-01-20,,2156,
F111310102129,F1,11,3,1,日本工業大学,南埼玉郡宮代町学園台４－１－１,3458501,2021-01-20,,2157,
F111310102138,F1,11,3,1,明海大学,坂戸市けやき台１－１,3500283,2021-01-20,,2159,
F111310102147,F1,11,3,1,埼玉医科大学,入間郡毛呂山町毛呂本郷３８,3500495,2021-01-20,,2160,
F111310102156,F1,11,3,1,埼玉工業大学,深谷市普済寺１６９０,3690203,2021-01-20,,2161,
F111310102165,F1,11,3,1,駿河台大学,飯能市大字阿須字一の木６９８,3578555,2021-01-20,,2162,
F111310102174,F1,11,3,1,聖学院大学,上尾市戸崎１－１,3628585,2021-01-20,,2163,
F111310102183,F1,11,3,1,女子栄養大学,坂戸市千代田３－９－２１,3500288,2021-01-20,,2209,
F111310102192,F1,11,3,1,東都大学,深谷市上柴町西４丁目２番１１,3660052,2021-01-20,,2265,
F111310102209,F1,11,3,1,日本保健医療大学,幸手市大字幸手１９６１－２,3400100,2021-01-20,,2266,
F211310102217,F2,11,3,1,武蔵野短期大学,狭山市広瀬台３－２６－１,3501328,2021-01-20,,5147,
F211310102226,F2,11,3,1,埼玉純真短期大学,羽生市大字下岩瀬字下岩瀬４３０,3480045,2021-01-20,,5148,
F211310102235,F2,11,3,1,城西短期大学,坂戸市けやき台１－１,3500295,2021-01-20,,5149,
F211310102244,F2,11,3,1,国際学院埼玉短期大学,さいたま市大宮区吉敷町２－５,3308548,2021-01-20,,5150,
F211310102253,F2,11,3,9,浦和大学短期大学部,さいたま市緑区大崎３５５１,3360974,2021-01-20,2022-05-01,5152,
F211310102262,F2,11,3,1,秋草学園短期大学,所沢市泉町１７８９,3591112,2021-01-20,,5155,
F211310102271,F2,11,3,1,川口短期大学,川口市大字木曽呂１５１１,3330831,2021-01-20,,5157,
F211310102280,F2,11,3,1,埼玉医科大学短期大学,入間郡毛呂山町毛呂本郷３８,3500495,2021-01-20,,5160,
F211310102299,F2,11,3,1,埼玉女子短期大学,日高市大字女影字小河原１６１６,3501227,2021-01-20,,5161,
